Database,,,,,,,,,,,,,,,,,
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4,,,,,,,,,,
5,1526_Marco_InitialConversation,,1,4,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,,
6,MARCO_1526_Area2EnteredMultiplw,Entered 1526 area 2 multiple times,4,1,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,,
7,Underground_Kim_Alice_1,First conversation Kim and Alice ,1,5,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,,
DialogueEntries,,,,,,,,,,,,,,,,,
entrytag,ConvID,ID,Actor,Conversant,Title,MenuText,DialogueText,IsGroup,FalseConditionAction,ConditionPriority,Conditions,Script,Sequence,Description,Response Menu Sequence,EventGuid,canvasRect
Text,Number,Number,Number,Number,Text,Text,Text,Boolean,Special,Special,Text,Text,Text,Text,Text,Text,Text
Player_1_0,1,0,1,3,START,,,FALSE,Block,Normal,,,None(),,{{omit}},{{omit}},161.0309;30
Merchant_1_1,1,1,3,1,HelloTitle,,Jackanapes!!,FALSE,Block,Normal,,,,"Said in the same way someone in modern times might say 'WTF' when interrupted	",{{omit}},{{omit}},162.5603;116.1586
Player_1_2,1,2,1,3,,Sorry...I....,Im so sorry....,FALSE,Block,Normal,,,SALSA(speech/Test/test3);,,{{omit}},{{omit}},158.6885;200.7813
Merchant_1_4,1,4,3,1,,,Stand off else I’ll fetch you a broken pate! \nWhat do you mean by exciting my horse?,FALSE,Block,Normal,,,,,{{omit}},{{omit}},195.0735;265.9225
Player_1_5,1,5,1,3,,,I didnt mean it. Forgive me? ,FALSE,Block,Normal,,,"SALSA(speech/Test/test4,,speech/Test/test5);",,,{{omit}},197.2011;339.1406
Merchant_1_6,1,6,3,1,,,"From where do you come? Why are you attired so, and speak in this forked tongue? ",FALSE,Block,Normal,,,,,{{omit}},{{omit}},197.2011;390.3906
Player_1_7,1,7,1,3,,,"I’m – I just live along the river, in…",FALSE,Block,Normal,,,SALSA(speech/Test/test3);,,{{omit}},{{omit}},198.4511;444.1406
Merchant_1_8,1,8,3,1,,,[em3]ART THOU SATAN?[/em3],FALSE,Block,Normal,,,,Shouted in religious tones,{{omit}},{{omit}},199.5541;489.2141
Player_1_9,1,9,1,3,,,"No! What? Look, I’ll just – I’ll just back off. Sorry for freaking out the horse. Chill out, mate",FALSE,Block,Normal,,,TextSync(),"flustering, aplogetic",{{omit}},{{omit}},199.5541;539.2141
Merchant_1_10,1,10,3,1,,,,FALSE,Block,Normal,,,,,{{omit}},,199.5541;586.0891
Player_2_0,2,0,1,4,START,,,FALSE,Block,Normal,,,None(),,{{omit}},{{omit}},156;31
Player_2_3,2,3,1,4,,,"[lua(RandomElement(Variable[""MarcoGreeting""]))] . Got anything useful for me? ",FALSE,Block,Normal,,RandomizeNextEntry(),,When the conversation starts the player will ask MARCO if he has anything useful to say using one of the MARCO Greetings (recorded separately),{{omit}},{{omit}},178;137
MARCO_2_4,2,4,4,1,,,Ummm....nope,FALSE,Block,Normal,,,,A randomised response by MARCO,{{omit}},{{omit}},89.8868;250.0566
MARCO_2_5,2,5,4,1,,,A cloud weighs around a million tonnes,FALSE,Block,Normal,,,,A randomised response by MARCO,{{omit}},{{omit}},296;262
MARCO_2_7,2,7,4,1,,,Water might not be wet,FALSE,Block,Normal,,,,,{{omit}},{{omit}},517.0566;269.9434
Player_2_8,2,8,1,4,,,"Gee, thanks",FALSE,Block,Normal,,,,"(sarcastic)	",{{omit}},{{omit}},86;361
Player_2_9,2,9,1,4,,,Holy Shit...well that is interesting,FALSE,Block,Normal,,,,"(mildly surprised as you have been just told an interesting fact)	",{{omit}},{{omit}},296;312
Player_2_10,2,10,1,4,,,Huh?,FALSE,Block,Normal,,,,,{{omit}},{{omit}},518;319
MARCO_2_11,2,11,4,1,,,"This is because most scientists define wetness as a liquid’s ability to maintain contact with a solid surface, meaning that water itself is not wet, but can make other objects wet.",FALSE,Block,Normal,,,,,{{omit}},{{omit}},518;369
Player_3_0,3,0,1,3,START,,,FALSE,Block,Normal,,,None(),,{{omit}},{{omit}},160;30
Player_3_1,3,1,1,3,,,Good day. Apologies for the horse thing. ,FALSE,Block,Normal,,,,,{{omit}},{{omit}},160;80
Merchant_3_2,3,2,3,1,,,"Good day. No, I should apologise. I should not have implied that you were the Prince of Darkness. The source of all evil. It was an overreaction to a lost apple. ",FALSE,Block,Normal,,,,,{{omit}},{{omit}},158;143
Player_3_3,3,3,1,3,,Maybe I can ask a question? ,"This is me asking a question - what I am asking is quite different to what the player selected. This means we can have a list of questions like 'Ask the merchant about the shop', and when you select that option what Kim actually says is far more interestingly worded than that ",FALSE,Block,Normal,,,,,{{omit}},{{omit}},97;269
Player_3_4,3,4,1,3,,,Or a different question?,FALSE,Block,Normal,,,,,{{omit}},{{omit}},298;268
Player_3_5,3,5,1,3,,,Or even a third question? ,FALSE,Block,Normal,,,,,{{omit}},{{omit}},506;269
Merchant_3_6,3,6,3,1,,,Right...you sound nuts,FALSE,Block,Normal,,,,,{{omit}},{{omit}},127;439
Merchant_3_7,3,7,3,1,,,That <b>IS </b> a different question,FALSE,Block,Normal,,,,,{{omit}},{{omit}},328;425
Merchant_3_8,3,8,3,1,,,"Three questions...what am I, a question genie?",FALSE,Block,Normal,,,,,{{omit}},15ee9502-3969-461c-b890-c1a35709893e,651;419
Player_4_0,4,0,1,4,START,,,FALSE,Block,Normal,,,None(),,{{omit}},{{omit}},156;31
Player_4_3,4,3,1,4,,,"[lua(RandomElement(Variable[""MarcoGreeting""]))] . What can you tell me about this place? ",FALSE,Block,Normal,,RandomizeNextEntry(),,,{{omit}},{{omit}},178;137
MARCO_4_4,4,4,4,1,,,It looks like we are in...1526,FALSE,Block,Normal,,,,,{{omit}},{{omit}},234;255
Player_4_8,4,8,1,4,,,Ohhh...wow!,FALSE,Block,Normal,,,,,{{omit}},{{omit}},233;362
Player_5_0,5,0,1,4,START,,,FALSE,Block,Normal,,,None(),,{{omit}},{{omit}},160;30
Player_5_1,5,1,1,4,,,Siri… what’s the date? ,FALSE,Block,Normal,,,SALSA(),This is the first real interaction with MARCO,{{omit}},{{omit}},160;80
MARCO_5_2,5,2,4,1,,,"This is Marco, your personal assistant app!",FALSE,Block,Normal,,,,First time responding - Kim has called you Siri,{{omit}},{{omit}},160;130
Player_5_3,5,3,1,4,,,Right. Marco. Whatever.,FALSE,Block,Normal,,,,,{{omit}},{{omit}},160;180
MARCO_5_4,5,4,4,1,,,"It’s not really a case of ‘whatever’. I’m the most advanced AI that’s been devised. I don’t even rely on wifi, which is pretty useful given where you’ve found yourself.",FALSE,Block,Normal,,,,,{{omit}},{{omit}},160;230
Player_5_5,5,5,1,4,,,Where <i>have</i> I…,FALSE,Block,Normal,,,,,{{omit}},{{omit}},160;280
MARCO_5_6,5,6,4,1,,,"I’m only bringing it up because – got to address it, elephant in the room – I did hear you say earlier that I was a, quote, ‘shitty version of Siri’. I realise this was ignorance rather than malice, but of course, it hurts. I’m many more times more powerful than Siri, Alex, any of these goons.",FALSE,Block,Normal,,,,,{{omit}},{{omit}},160;330
Player_5_7,5,7,1,4,,,"Fine. I didn’t mean to… like, I wouldn’t think it would be possible to hurt the feelings of a…",FALSE,Block,Normal,,,,,{{omit}},{{omit}},160;380
MARCO_5_8,5,8,4,1,,,"Of a machine. No. My super-intelligence is both blessing and curse. Anyway, what was it you wanted to ask? Another thing about my sophisticated human mimicry is that I quite often forget what the hell I’m meant to be doing.",FALSE,Block,Normal,,,,,{{omit}},{{omit}},430;31
Player_5_9,5,9,1,4,,,"I was asking you what date it is, what… what year it is.",FALSE,Block,Normal,,,,,{{omit}},{{omit}},430;81
MARCO_5_10,5,10,4,1,,,Oh. Easy. It’s August 5th... \. 1526.,FALSE,Block,Normal,,,,,{{omit}},{{omit}},430;131
MARCO_6_0,6,0,4,1,START,,,FALSE,Block,Normal,,,None(),,{{omit}},{{omit}},172;46
MARCO_6_1,6,1,4,1,,,"Excuse me for being nosy, but are you lost? ",FALSE,Block,Normal,,,,,{{omit}},{{omit}},172;96
Player_6_2,6,2,1,4,,,What makes you say that? ,FALSE,Block,Normal,,,,,{{omit}},{{omit}},172;146
MARCO_6_3,6,3,4,1,,,"Well, you have been here a number of times and you dont seem to be doing much",FALSE,Block,Normal,,,,,{{omit}},{{omit}},172;196
Player_7_0,7,0,1,5,START,,,FALSE,Block,Normal,,,None(),,{{omit}},{{omit}},160;30
Alice_7_1,7,1,5,1,,,"Oh my God, thank you! TESTING",FALSE,Block,Normal,,,"SetEnabled(Canvas, true, HintCanvas)@2;\nSALSA(speech/Test/RandomSpeech2);",,{{omit}},,164.0961;82.22169
Player_7_2,7,2,1,5,,,"You’re welcome…	",FALSE,Block,Normal,,,"SetEnabled(Canvas, false, HintCanvas);\nSALSA(speech/Test/RandomSpeech1);",,{{omit}},{{omit}},161.6;145.2
Alice_7_3,7,3,5,1,,,"Hey, does this go to Stockwell?",FALSE,Block,Normal,,,SALSA(speech/Test/RandomSpeech2);,,{{omit}},{{omit}},161.6;195.2
Player_7_4,7,4,1,5,,,Um \. No.,FALSE,Block,Normal,,,SALSA(speech/Test/RandomSpeech1);,,{{omit}},{{omit}},161.6;245.2
Alice_7_5,7,5,5,1,,,Oh. \. Probably shouldn’t have risked my life getting on.,FALSE,Block,Normal,,,SALSA(speech/Test/RandomSpeech2);,,{{omit}},{{omit}},161.6;295.2
OutgoingLinks,,,,,,,,,,,,,,,,,
OriginConvID,OriginID,DestConvID,DestID,ConditionPriority,,,,,,,,,,,,,
Number,Number,Number,Number,Special,,,,,,,,,,,,,
1,0,1,1,Normal,,,,,,,,,,,,,
1,1,1,2,Normal,,,,,,,,,,,,,
1,2,1,4,Normal,,,,,,,,,,,,,
1,2,1,10,Normal,,,,,,,,,,,,,
1,4,1,5,Normal,,,,,,,,,,,,,
1,5,1,6,Normal,,,,,,,,,,,,,
1,6,1,7,Normal,,,,,,,,,,,,,
1,7,1,8,Normal,,,,,,,,,,,,,
1,8,1,9,Normal,,,,,,,,,,,,,
1,9,1,10,Normal,,,,,,,,,,,,,
2,0,2,3,Normal,,,,,,,,,,,,,
2,3,2,4,Normal,,,,,,,,,,,,,
2,3,2,5,Normal,,,,,,,,,,,,,
2,3,2,7,Normal,,,,,,,,,,,,,
2,4,2,8,Normal,,,,,,,,,,,,,
2,5,2,9,Normal,,,,,,,,,,,,,
2,7,2,10,Normal,,,,,,,,,,,,,
2,10,2,11,Normal,,,,,,,,,,,,,
3,0,3,1,Normal,,,,,,,,,,,,,
3,1,3,2,Normal,,,,,,,,,,,,,
3,2,3,3,Normal,,,,,,,,,,,,,
3,2,3,4,Normal,,,,,,,,,,,,,
3,2,3,5,Normal,,,,,,,,,,,,,
3,3,3,6,Normal,,,,,,,,,,,,,
3,4,3,7,Normal,,,,,,,,,,,,,
3,5,3,8,Normal,,,,,,,,,,,,,
3,6,3,3,Normal,,,,,,,,,,,,,
3,6,3,4,Normal,,,,,,,,,,,,,
3,6,3,5,Normal,,,,,,,,,,,,,
3,7,3,3,Normal,,,,,,,,,,,,,
3,7,3,4,Normal,,,,,,,,,,,,,
3,7,3,5,Normal,,,,,,,,,,,,,
4,0,4,3,Normal,,,,,,,,,,,,,
4,3,4,4,Normal,,,,,,,,,,,,,
4,4,4,8,Normal,,,,,,,,,,,,,
5,0,5,1,Normal,,,,,,,,,,,,,
5,1,5,2,Normal,,,,,,,,,,,,,
5,2,5,3,Normal,,,,,,,,,,,,,
5,3,5,4,Normal,,,,,,,,,,,,,
5,4,5,5,Normal,,,,,,,,,,,,,
5,5,5,6,Normal,,,,,,,,,,,,,
5,6,5,7,Normal,,,,,,,,,,,,,
5,7,5,8,Normal,,,,,,,,,,,,,
5,8,5,9,Normal,,,,,,,,,,,,,
5,9,5,10,Normal,,,,,,,,,,,,,
6,0,6,1,Normal,,,,,,,,,,,,,
6,1,6,2,Normal,,,,,,,,,,,,,
6,2,6,3,Normal,,,,,,,,,,,,,
7,0,7,1,Normal,,,,,,,,,,,,,
7,1,7,2,Normal,,,,,,,,,,,,,
7,2,7,3,Normal,,,,,,,,,,,,,
7,3,7,4,Normal,,,,,,,,,,,,,
7,4,7,5,Normal,,,,,,,,,,,,,
