ID,Type,Original text,Scene,Description,Original text
206,Speech,"Yeah, at least only <b>one<b> kid cried",OpeningScene,From: TalkToGreg,"Yeah, at least only <b>one<b> kid cried"
207,Speech,"Thanks, that makes me feel so much better",OpeningScene,From: TalkToGreg,"Thanks, that makes me feel so much better"
208,Speech,"I need to get home, drink some wine and forget about today",OpeningScene,From: TalkToGreg,"I need to get home, drink some wine and forget about today"
209,Character,KIM_V3,OpeningScene,From: KIM_V3,KIM_V3
210,Hotspot,Greg,OpeningScene,From: Greg,Greg
211,Character,Greg,OpeningScene,From: Greg,Greg
212,Hotspot,Bicycle,OpeningScene,From: Bicycle,Bicycle
213,Hotspot,Cube_Hotspot,OpeningScene,From: Cube_Hotspot,Cube_Hotspot
214,DialogueOption,What a day huh?,OpeningScene,From: ChatWithGreg,What a day huh?
215,DialogueOption,Hows the kids?,OpeningScene,From: ChatWithGreg,Hows the kids?
216,DialogueOption,See ya!,OpeningScene,From: ChatWithGreg,See ya!
217,DialogueOption,Chat about the weather,OpeningScene,From: Greg - what a day,Chat about the weather
218,DialogueOption,Talk about the presentation,OpeningScene,From: Greg - what a day,Talk about the presentation
219,DialogueOption,Ugh,OpeningScene,From: Greg - what a day,Ugh
220,Speech,Looks like an apple,1526_Street,From: Apple: Examine,Looks like an apple
221,Speech,I dont think trying to give him his stolen apple would be the best plan,1526_Street,From: Merchant: Apple,I dont think trying to give him his stolen apple would be the best plan
222,Speech,Looks like a relative of cut me own throat Dibbler,1526_Street,From: Merchant: Examine,Looks like a relative of cut me own throat Dibbler
223,Hotspot,Merchant,1526_Street,From: FarmerConversation,Merchant
224,Hotspot,Horsey,1526_Street,From: Hotspot_Horse,Horsey
225,Character,KIM_V3,1526_Street,From: KIM_V3,KIM_V3
226,Hotspot,Apple,1526_Street,From: Hotspot_apple,Apple
227,Character,KIM_V3, , ,KIM_V3
228,InventoryItem,Apple, , ,Apple
229,Objective,Active, , ,Active
230,Objective,Complete, , ,Complete
231,Objective,Fail, , ,Fail
232,Objective,Befriend The Merchant, , ,Befriend The Merchant
233,Objective,The merchant is grumpy. You need to try and get on his good side, , ,The merchant is grumpy. You need to try and get on his good side
234,Objective,Talk to the merchant for the first time, , ,Talk to the merchant for the first time
235,Objective,Description for talk to merchant for the first time, , ,Description for talk to merchant for the first time
236,Objective,Get the apple, , ,Get the apple
237,Objective,Use the Saraswati App, , ,Use the Saraswati App
238,Objective,Talk to the merchant again, , ,Talk to the merchant again
239,Objective,Completed, , ,Completed
240,CursorIcon,Down, , ,Down
241,MenuElement,Button, , ,Button
242,MenuElement,Button, , ,Button
243,MenuElement,Button, , ,Button
244,MenuElement,Button, , ,Button
245,MenuElement,Button, , ,Button
246,MenuElement,Button, , ,Button
247,MenuElement,Close, , ,Close
248,MenuElement,Close, , ,Close
249,MenuElement,Button, , ,Button
250,MenuElement,Button, , ,Button
251,Speech,"History isn't something that's dead.[break]The past is something we're part of, and so is the future", ,From: OpeningSceneTimeline,"History isn't something that's dead.[break]The past is something we're part of, and so is the future"
252,Speech,"We pick up the threads left by people in the past, and we shape the future even when we’re not in it anymore. ", ,From: OpeningSceneTimeline,"We pick up the threads left by people in the past, and we shape the future even when we’re not in it anymore. "
253,Speech,The dance goes on and on[wait:2] <b><i>forever, ,From: OpeningSceneTimeline,The dance goes on and on[wait:2] <b><i>forever
