Australian
Conversation ID,Entry ID,Actor,Original Text,Translated Text [Australian],Original Menu,Translated Menu [Australian],Description
15,10,Kim,"If we could go back and change even the smallest thing, we’d create a different world. ",,,,
16,0,Not Assigned,,,,,
16,1,CyringKid,waaah...,,,,
18,0,Kim,,,,,
18,7,Alice,I was going to ask if you have a café.,,,,
18,8,Kim,"<i>(sighs)</i> We do, but they’ll be closing, they normally close at…",,,,
18,10,Alice,"OK, how about a pub?",,,,
18,11,Kim,"What? We’re a museum, we…",,,,
18,12,Alice,You’re not making this easy. Can I take you to the pub? ,,,,
18,13,Alice,For a drink? ,,,,
18,14,Alice,When you finish work?,,,,
18,15,Kim,…oh.,,,,
18,16,Alice,"It’s Alice, by the way. You can say no, I don’t even know if you’re… I just had to ask. And I was passing anyway.",,,,
18,17,Kim,<pause> Were you?,,,,
18,18,Alice,No. It took me an hour and a quarter to get here.,,,,
18,19,Kim,I’m Kim. And… yes please.,,,,
19,0,Kim,,,,,
19,2,Kim,"Yes, you.",,,,
20,0,Kim,,,,,
20,1,Saraswati,GOOD DAY TO YE! LET US TALK!,,,,
20,2,Kim,"So, this app supposedly – they gave a free trial to everyone at the museum – they claim it can translate between modern and ancient languages. I’ve literally never opened it. ",,,,
20,3,Kim,"We don’t get a lot of Ancient Mesopotamians coming round. Lucky really, they might want some of their stuff back.",,,,
21,0,Kim,,,,,
21,1,BMA,"Good afternoon, how may I enlighten you?",,,,
21,2,Kim,"This is basically like a tiny little Wikipedia for history stuff. Anything covered in the museum, you can find on here somewhere. Kind of makes it pointless me having spent years learning it all, I guess, but there we go.",,,,
23,0,Kim,,,,,
23,1,Kim,"Yeah, I’d rather not look at that right now. It’s – it just reminds you about birthdays, appointments, whatever. But today is… well. I’m not likely to forget.",,,,
24,0,Kim,,,,,
24,1,Kim,"Mobile AI Research Companion and Organiser. This is just like a shitty version of Siri. I pretty much never use it. There are aspects of my existence I’d like to subcontract to a robot, but thinking – not so much. ",,,,
25,0,Kim,,,,,
25,1,Waiter2026,"Madame, with the greatest respect, should I take one of the menus away?",,,,
26,0,Kim,,,,,
26,1,Alice,FOUND YOU!,,,,
26,2,Kim,What are you doing!?,,,,
26,3,Alice,"Um, just being a legend at hide and seek?",,,,
26,4,Kim,"Chloe’s meant to be seeking! You know, the one whose eighth birthday it is?",,,,
26,5,Alice,Well your niece is shit at finding people and I was missing you.,,,,
27,0,Kim,,,,,
27,1,Alice,OK gently… gently… and go for it…,,,,
28,0,Kim,,,,,
28,2,Alice,"[panel=4]God this is so embarrassing, can you come and find me?",,,,
28,3,Kim,I thought you were standing me up! On a first date!,,,,
28,4,Alice,"[panel=4]No, I’m just an idiot",,,,
28,5,Kim,"OK, what can you see?",,,,
28,6,Alice,[panel=4]Um. Grass.,,,,
28,7,Kim,"…right, I'll just look around London for some grass.",,,,
29,0,Kim,,,,,
29,1,Kim,"Ok, I think thats enough of that",,,,
30,0,Kim,,,,,
30,5,Alice,Hey – shall we get married?,,,,
30,6,Kim,"Oh my god, you meant it!",,,,
30,7,Kim,Because you can’t live without my amazing hand-eye coordination?,,,,
30,8,Alice,Ha Ha Ha...,,,,
30,9,Kim,......,,,,
31,0,Kim,,,,,
31,2,Kim,"[lua(RandomElement(Variable[""August2026Office.Stressball""]))]",,,,
32,0,Kim,,,,,
32,1,Kim,"[panel=5][lua(RandomElement(Variable[""OfficePhoto1""]))]",,,,
33,0,Christian,,,,,
33,1,Christian,"Hello campers! It’s 4pm, we’re skipping off school early, it’s time to pack and hit the road!",,,,
33,2,Kim,"I can’t believe this, I can’t believe you’ve talked me into this. ",,,,
33,3,Christian,"Do you mean ‘hi Christian, I can’t wait for our weekend camping adventure’?",,,,
33,4,Kim,I must have had some sort of brain injury.,,,,
33,5,Christian,"I’m sure you’re not conscious of this, Kimbo, but you’re almost sounding a bit negative about the trip.",,,,
33,6,Kim,I mean why would I go on holiday to a place that’s worse than my actual flat? Isn’t the point of a holiday – ,,,,
33,7,Christian,"We’ve covered this, the ‘point’ of a holiday is to spend time with your beloved best friend…",,,,
33,8,Kim,"That’s you, is it?",,,,
33,9,Christian,"Unless I’ve been demoted, yes – with your beloved best friend, getting a change of scene for the weekend.",,,,
33,30,Christian,,,,,
33,31,Christian,do you still have some camping concerns? ,,,,
33,32,Kim,,,,,
33,33,Kim,"Of course, Cris. I’m just being adorably grumpy.",,Of course,,
33,34,Kim,"I mean, is there a way of having a ‘change of scene’ where there’s also a proper toilet?",,But what about bathrooms?!,,
33,35,Kim,I – I am kind of having second thoughts,,I don't know...,,
33,36,Christian,"Ah, sorry, I missed the adorable bit",,,,
33,37,Christian,On the website it says the toilets have actually gone up from two to three stars.,,,,
33,38,Christian,Right. Any chance you could have THIRD thoughts?,,,,
33,39,Kim,Shut your face!,,,,
33,40,Kim,"I’ll just hold on till we get home, I reckon. I’ve done 72 hours before.",,,,
33,41,Kim,(Sigh) Fine. I’ve had third thoughts and I’ll try not to have fourth ones in the next hour.,,,,
33,42,Christian,Consider it shut,,,,
33,43,Christian,"They don’t just give those three-star awards away, you know",,,,
33,44,Christian,"If you do, just text me and we’ll see if we can get you onto fifth thoughts",,,,
33,45,Christian,"OK, so I’ll see you at mine in – what, two hours? Get to the site for like half past eight, it’ll still be light for us to put the tent up",,,,
33,46,Kim,Christ. I’d forgotten the tent aspect. Are you sure you wouldn’t rather go to a…,,,,
33,47,Christian,…and from now on I’m singing tunelessly over any further objections! La la la la la! La-la-la! ,,,,
33,48,Kim,,,,,
33,50,Christian,Remember. Two Hours. My Place. Campiiing!,,,,
33,51,Kim,,,End chat,,
34,0,Kim,,,,,
34,30,Christian,Uhh...okay I guess we can chat like this...,,,,
34,31,Kim,What is earth?,,Earth	,,
34,32,Kim,What is wind?,,Wind,,
34,33,Kim,What is fire?,,Fire,,
34,34,Christian,Earth is a big ball of stuff that we live on. This is the first longer explanation of it	,,,,
34,35,Christian,Wind is a mysterious force that no one understands. ,,,,
34,36,Christian,Fire is fascinating and mesmerising.This is the first longer explanation of it,,,,
34,38,Kim,,,,,
34,39,Kim,,,,,
34,41,Kim,,,[em1]Remind me about wind again...,,
34,42,Christian,Wind is a mystery,,,,
34,44,Kim,,,I'm done,,
34,45,Kim,,,[em1]What did you say about fire?,,
34,46,Christian,I like fire a lot,,,,
34,47,Kim,,,[em1]I forgot what Earth is...,,
34,48,Christian,"Its big, and made of earth",,,,
34,49,Kim,Really? Noone? Hmmm,,test,,
34,50,Christian,"Well, maybe meatier...meteye...meteriol...weather people do",,,,
34,51,Kim,Does this one work? ,,,,
34,52,Kim,"Okay, okay...",,,,
34,53,Kim,,,test 1,,
34,54,Kim,test2	,,,,
35,0,OptionSelection,,,,,
35,1,Kim,,,Let Christian in,,
35,2,Kim,,,Ugh...people...lets just yell through the door	,,
35,6,OptionSelection,,,,,
35,7,OptionSelection,,,,,
35,8,Kim,,,,,
35,9,Kim,,,Exit,,
36,0,Kim,,,,,
36,1,Kim,"Shoot, I just changed my PIN the other day and now I can't remember it. I'm sure I wrote it down somewhere",,,,
37,0,Christian,,,,,
37,1,Christian,"(MUFFLED) Hello campers! It’s 4pm, we’re skipping off school early, it’s time to pack and hit the road!",,,,
37,2,Kim,"I can’t believe this, I can’t believe you’ve talked me into this. ",,,,
37,3,Christian,"Do you mean ‘hi Christian, I can’t wait for our weekend camping adventure’?",,,,
37,4,Kim,I must have had some sort of brain injury.,,,,
37,5,Christian,"I’m sure you’re not conscious of this, Kimbo, but you’re almost sounding a bit negative about the trip.",,,,
37,6,Kim,I mean why would I go on holiday to a place that’s worse than my actual flat? Isn’t the point of a holiday – ,,,,
37,7,Christian,"We’ve covered this, the ‘point’ of a holiday is to spend time with your beloved best friend…",,,,
37,8,Kim,"That’s you, is it?",,,,
37,9,Christian,"Unless I’ve been demoted, yes – with your beloved best friend, getting a change of scene for the weekend.",,,,
37,32,Kim,,,,,
37,33,Kim,"Of course, Cris. I’m just being adorably grumpy.",,Of course,,
37,34,Kim,"I mean, is there a way of having a ‘change of scene’ where there’s also a proper toilet?",,what about bathrooms?!,,
37,35,Kim,I – I am kind of having second thoughts,,I dont know...,,
37,36,Christian,"Ah, sorry, I missed the adorable bit",,,,
37,37,Christian,On the website it says the toilets have actually gone up from two to three stars.,,,,
37,38,Christian,Right. Any chance you could have THIRD thoughts?,,,,
37,39,Kim,Shut your face!,,,,
37,40,Kim,"I’ll just hold on till we get home, I reckon. I’ve done 72 hours before.",,,,
37,41,Kim,(Sigh) Fine. I’ve had third thoughts and I’ll try not to have fourth ones in the next hour.,,,,
37,42,Christian,Consider it shut,,,,
37,43,Christian,"They don’t just give those three-star awards away, you know",,,,
37,44,Christian,"If you do, just text me and we’ll see if we can get you onto fifth thoughts",,,,
37,45,Christian,"OK, so I’ll see you at mine in – what, two hours? Get to the site for like half past eight, it’ll still be light for us to put the tent up",,,,
37,46,Kim,Christ. I’d forgotten the tent aspect. Are you sure you wouldn’t rather go to a…,,,,
37,47,Christian,…and from now on I’m singing tunelessly over any further objections! La la la la la! La-la-la! ,,,,
37,48,Kim,,,,,
38,0,MARCO,,,,,
38,1,MARCO,[var=global_Inventory_ItemDescription],,,,
39,0,Christian,,,,,
39,1,Christian,Now why would I want that?,,,,
