Key,Type,Desc,French,English
Dialogue System/Conversation/1/Entry/9/English,Text,,"No! What? Look, I’ll just – I’ll just back off. Sorry for freaking out the horse. Chill out, mate",
Dialogue System/Conversation/1/Entry/9/Sequence,Text,,TextSync(),
Dialogue System/Conversation/1/Title,Text,,MerchantConversation1,
Dialogue System/Conversation/10/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/10/Entry/0/Title,Text,,START,
Dialogue System/Conversation/10/Entry/1/Dialogue Text,Text,,Good Luck!,
Dialogue System/Conversation/10/Entry/1/Sequence,Text,,SALSA(speech/Test/Kim2);,
Dialogue System/Conversation/10/Title,Text,,Underground_Kim_Alice_4,
Dialogue System/Conversation/2/Description,Text,,"Conversation with MARCO that appears when the player initiates a conversation with MARCO that is not initiated by the game. This conversation is mostly for fun, but may contain hints in particular parts of the game",
Dialogue System/Conversation/2/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/2/Entry/0/Title,Text,,START,
Dialogue System/Conversation/2/Entry/10/Dialogue Text,Text,,Huh?,
Dialogue System/Conversation/2/Entry/10/English,Text,,Huh?,
Dialogue System/Conversation/2/Entry/11/Dialogue Text,Text,,"This is because most scientists define wetness as a liquid’s ability to maintain contact with a solid surface, meaning that water itself is not wet, but can make other objects wet.",
Dialogue System/Conversation/2/Entry/11/English,Text,,"This is because most scientists define wetness as a liquid’s ability to maintain contact with a solid surface, meaning that water itself is not wet, but can make other objects wet.",
Dialogue System/Conversation/2/Entry/3/Description,Text,,When the conversation starts the player will ask MARCO if he has anything useful to say using one of the MARCO Greetings (recorded separately),
Dialogue System/Conversation/2/Entry/3/Dialogue Text,Text,When the conversation starts the player will ask MARCO if he has anything useful to say using one of the MARCO Greetings (recorded separately),"[lua(RandomElement(Variable[""MarcoGreeting""]))] . Got anything useful for me? ",
Dialogue System/Conversation/2/Entry/3/English,Text,,"[lua(RandomElement(Variable[""MarcoGreeting""]))] . Got anything useful for me? ",
Dialogue System/Conversation/2/Entry/4/Description,Text,,A randomised response by MARCO,
Dialogue System/Conversation/2/Entry/4/Dialogue Text,Text,A randomised response by MARCO,Ummm....nope,
Dialogue System/Conversation/2/Entry/4/English,Text,,Ummm....nope,
Dialogue System/Conversation/2/Entry/5/Description,Text,,A randomised response by MARCO,
Dialogue System/Conversation/2/Entry/5/Dialogue Text,Text,A randomised response by MARCO,A cloud weighs around a million tonnes,
Dialogue System/Conversation/2/Entry/5/English,Text,,A cloud weighs around a million tonnes,
Dialogue System/Conversation/2/Entry/7/Dialogue Text,Text,,Water might not be wet,
Dialogue System/Conversation/2/Entry/7/English,Text,,Water might not be wet,
Dialogue System/Conversation/2/Entry/8/Description,Text,,(sarcastic)	,
Dialogue System/Conversation/2/Entry/8/Dialogue Text,Text,(sarcastic)	,"Gee, thanks",
Dialogue System/Conversation/2/Entry/8/English,Text,,"Gee, thanks",
Dialogue System/Conversation/2/Entry/9/Description,Text,,(mildly surprised as you have been just told an interesting fact)	,
Dialogue System/Conversation/2/Entry/9/Dialogue Text,Text,(mildly surprised as you have been just told an interesting fact)	,Holy Shit...well that is interesting,
Dialogue System/Conversation/2/Entry/9/English,Text,,Holy Shit...well that is interesting,
Dialogue System/Conversation/2/Title,Text,,MARCO_1,
Dialogue System/Conversation/3/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/3/Entry/0/Title,Text,,START,
Dialogue System/Conversation/3/Entry/1/Dialogue Text,Text,,Good day. Apologies for the horse thing. ,
Dialogue System/Conversation/3/Entry/1/English,Text,,Good day. Apologies for the horse thing. ,
Dialogue System/Conversation/3/Entry/2/Dialogue Text,Text,,"Good day. No, I should apologise. I should not have implied that you were the Prince of Darkness. The source of all evil. It was an overreaction to a lost apple. ",
Dialogue System/Conversation/3/Entry/2/English,Text,,"Good day. No, I should apologise. I should not have implied that you were the Prince of Darkness. The source of all evil. It was an overreaction to a lost apple. ",
Dialogue System/Conversation/3/Entry/3/Dialogue Text,Text,,"This is me asking a question - what I am asking is quite different to what the player selected. This means we can have a list of questions like 'Ask the merchant about the shop', and when you select that option what Kim actually says is far more interestingly worded than that ",
Dialogue System/Conversation/3/Entry/3/English,Text,,"This is me asking a question - what I am asking is quite different to what the player selected. This means we can have a list of questions like 'Ask the merchant about the shop', and when you select that option what Kim actually says is far more interestingly worded than that ",
Dialogue System/Conversation/3/Entry/3/Menu Text,Text,,Maybe I can ask a question? ,
Dialogue System/Conversation/3/Entry/4/Dialogue Text,Text,,Or a different question?,
Dialogue System/Conversation/3/Entry/4/English,Text,,Or a different question?,
Dialogue System/Conversation/3/Entry/5/Dialogue Text,Text,,Or even a third question? ,
Dialogue System/Conversation/3/Entry/5/English,Text,,Or even a third question? ,
Dialogue System/Conversation/3/Entry/6/Dialogue Text,Text,,Right...you sound nuts,
Dialogue System/Conversation/3/Entry/6/English,Text,,Right...you sound nuts,
Dialogue System/Conversation/3/Entry/7/Dialogue Text,Text,,That <b>IS </b> a different question,
Dialogue System/Conversation/3/Entry/7/English,Text,,That <b>IS </b> a different question,
Dialogue System/Conversation/3/Entry/8/Dialogue Text,Text,,"Three questions...what am I, a question genie?",
Dialogue System/Conversation/3/Entry/8/English,Text,,"Three questions...what am I, a question genie?",
Dialogue System/Conversation/3/Entry/8/EventGuid,Text,,15ee9502-3969-461c-b890-c1a35709893e,
Dialogue System/Conversation/3/Title,Text,,MerchantConversation2,
Dialogue System/Conversation/4/Description,Text,,	,
Dialogue System/Conversation/4/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/4/Entry/0/Title,Text,,START,
Dialogue System/Conversation/4/Entry/3/Dialogue Text,Text,,"[lua(RandomElement(Variable[""MarcoGreeting""]))] . What can you tell me about this place? ",
Dialogue System/Conversation/4/Entry/3/English,Text,,"[lua(RandomElement(Variable[""MarcoGreeting""]))] . What can you tell me about this place? ",
Dialogue System/Conversation/4/Entry/4/Dialogue Text,Text,,It looks like we are in...1526,
Dialogue System/Conversation/4/Entry/4/English,Text,,It looks like we are in...1526,
Dialogue System/Conversation/4/Entry/8/Dialogue Text,Text,,Ohhh...wow!,
Dialogue System/Conversation/4/Entry/8/English,Text,,Ohhh...wow!,
Dialogue System/Conversation/4/Title,Text,,1526_Marco1,
Dialogue System/Conversation/5/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/5/Entry/0/Title,Text,,START,
Dialogue System/Conversation/5/Entry/1/Description,Text,,This is the first real interaction with MARCO,
Dialogue System/Conversation/5/Entry/1/Dialogue Text,Text,This is the first real interaction with MARCO,Siri… what’s the date? ,
Dialogue System/Conversation/5/Entry/1/English,Text,,Siri… what’s the date? ,
Dialogue System/Conversation/5/Entry/1/Sequence,Text,,SALSA(),
Dialogue System/Conversation/5/Entry/10/Dialogue Text,Text,,Oh. Easy. It’s August 5th... \. 1526.,
Dialogue System/Conversation/5/Entry/10/English,Text,,Oh. Easy. It’s August 5th... \. 1526.,
Dialogue System/Conversation/5/Entry/2/Description,Text,,First time responding - Kim has called you Siri,
Dialogue System/Conversation/5/Entry/2/Dialogue Text,Text,First time responding - Kim has called you Siri,"This is Marco, your personal assistant app!",
Dialogue System/Conversation/5/Entry/2/English,Text,,"This is Marco, your personal assistant app!",
Dialogue System/Conversation/5/Entry/3/Dialogue Text,Text,,Right. Marco. Whatever.,
Dialogue System/Conversation/5/Entry/3/English,Text,,Right. Marco. Whatever.,
Dialogue System/Conversation/5/Entry/4/Dialogue Text,Text,,"It’s not really a case of ‘whatever’. I’m the most advanced AI that’s been devised. I don’t even rely on wifi, which is pretty useful given where you’ve found yourself.",
Dialogue System/Conversation/5/Entry/4/English,Text,,"It’s not really a case of ‘whatever’. I’m the most advanced AI that’s been devised. I don’t even rely on wifi, which is pretty useful given where you’ve found yourself.",
Dialogue System/Conversation/5/Entry/5/Dialogue Text,Text,,Where <i>have</i> I…,
Dialogue System/Conversation/5/Entry/5/English,Text,,Where <i>have</i> I…,
Dialogue System/Conversation/5/Entry/6/Dialogue Text,Text,,"I’m only bringing it up because – got to address it, elephant in the room – I did hear you say earlier that I was a, quote, ‘shitty version of Siri’. I realise this was ignorance rather than malice, but of course, it hurts. I’m many more times more powerful than Siri, Alex, any of these goons.",
Dialogue System/Conversation/5/Entry/6/English,Text,,"I’m only bringing it up because – got to address it, elephant in the room – I did hear you say earlier that I was a, quote, ‘shitty version of Siri’. I realise this was ignorance rather than malice, but of course, it hurts. I’m many more times more powerful than Siri, Alex, any of these goons.",
Dialogue System/Conversation/5/Entry/7/Dialogue Text,Text,,"Fine. I didn’t mean to… like, I wouldn’t think it would be possible to hurt the feelings of a…",
Dialogue System/Conversation/5/Entry/7/English,Text,,"Fine. I didn’t mean to… like, I wouldn’t think it would be possible to hurt the feelings of a…",
Dialogue System/Conversation/5/Entry/8/Dialogue Text,Text,,"Of a machine. No. My super-intelligence is both blessing and curse. Anyway, what was it you wanted to ask? Another thing about my sophisticated human mimicry is that I quite often forget what the hell I’m meant to be doing.",
Dialogue System/Conversation/5/Entry/8/English,Text,,"Of a machine. No. My super-intelligence is both blessing and curse. Anyway, what was it you wanted to ask? Another thing about my sophisticated human mimicry is that I quite often forget what the hell I’m meant to be doing.",
Dialogue System/Conversation/5/Entry/9/Dialogue Text,Text,,"I was asking you what date it is, what… what year it is.",
Dialogue System/Conversation/5/Entry/9/English,Text,,"I was asking you what date it is, what… what year it is.",
Dialogue System/Conversation/5/Title,Text,,1526_Marco_InitialConversation,
Dialogue System/Conversation/6/Description,Text,,Entered 1526 area 2 multiple times,
Dialogue System/Conversation/6/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/6/Entry/0/Title,Text,,START,
Dialogue System/Conversation/6/Entry/1/Dialogue Text,Text,,"Excuse me for being nosy, but are you lost? ",
Dialogue System/Conversation/6/Entry/1/English,Text,,"Excuse me for being nosy, but are you lost? ",
Dialogue System/Conversation/6/Entry/2/Dialogue Text,Text,,What makes you say that? ,
Dialogue System/Conversation/6/Entry/2/English,Text,,What makes you say that? ,
Dialogue System/Conversation/6/Entry/3/Dialogue Text,Text,,"Well, you have been here a number of times and you dont seem to be doing much",
Dialogue System/Conversation/6/Entry/3/English,Text,,"Well, you have been here a number of times and you dont seem to be doing much",
Dialogue System/Conversation/6/Title,Text,,MARCO_1526_Area2EnteredMultiplw,
Dialogue System/Conversation/7/Description,Text,,Cutscene 1 - Kim and Alice first meeting on a train 2016,
Dialogue System/Conversation/7/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/7/Entry/0/Title,Text,,START,
Dialogue System/Conversation/7/Entry/1/Description,Text,,[Kim just helped Alice barely squeeze onto the train],
Dialogue System/Conversation/7/Entry/1/Dialogue Text,Text,[Kim just helped Alice barely squeeze onto the train],"Oh my God, thank you!",
Dialogue System/Conversation/7/Entry/1/English,Text,,"Oh my God, thank you!",
Dialogue System/Conversation/7/Entry/1/French,Text,,"Oh mon Dieu, merci !",
Dialogue System/Conversation/7/Entry/1/Sequence,Text,,SALSA(speech/Test/Alice1);,
Dialogue System/Conversation/7/Entry/3/Dialogue Text,Text,,"Hey, does this go to Stockwell?",
Dialogue System/Conversation/7/Entry/3/English,Text,,"Hey, does this go to Stockwell?",
Dialogue System/Conversation/7/Entry/3/French,Text,,"Salut, est-ce que ça concerne Stockwell ?",
Dialogue System/Conversation/7/Entry/3/Sequence,Text,,SALSA(speech/Test/Alice2);,
Dialogue System/Conversation/7/Entry/4/Dialogue Text,Text,,Um \. No.,
Dialogue System/Conversation/7/Entry/4/English,Text,,Um \. No.,
Dialogue System/Conversation/7/Entry/4/French,Text,,Eu \. Non.,
Dialogue System/Conversation/7/Entry/4/Sequence,Text,,SALSA(speech/Test/Kim1);,
Dialogue System/Conversation/7/Entry/5/Dialogue Text,Text,,Oh. \. Probably shouldn’t have risked my life getting on.,
Dialogue System/Conversation/7/Entry/5/English,Text,,Oh. \. Probably shouldn’t have risked my life getting on.,
Dialogue System/Conversation/7/Entry/5/French,Text,,Oh \. Je n'aurais probablement pas dû risquer ma vie en montant.,
Dialogue System/Conversation/7/Entry/5/Sequence,Text,,SALSA(speech/Test/Alice3);,
Dialogue System/Conversation/7/Entry/6/Dialogue Text,Text,,"But you could actually change at – well, stay on and I’ll show you.",
Dialogue System/Conversation/7/Entry/6/English,Text,,"But you could actually change at – well, stay on and I’ll show you.",
Dialogue System/Conversation/7/Entry/6/French,Text,,"Mais vous pourriez en fait changer à… enfin, restez connectés et je vais vous montrer.",
Dialogue System/Conversation/7/Entry/6/Sequence,Text,,SALSA(speech/Test/Kim2);,
Dialogue System/Conversation/7/Entry/7/Dialogue Text,Text,,Thank you! \. You live in London? ,
Dialogue System/Conversation/7/Entry/7/English,Text,,Thank you! \. You live in London? ,
Dialogue System/Conversation/7/Entry/7/French,Text,,Merci ! \. Vous habitez à Londres ?,
Dialogue System/Conversation/7/Entry/7/Sequence,Text,,SALSA(speech/Test/Alice4);,
Dialogue System/Conversation/7/Entry/8/Dialogue Text,Text,,Um. Yep,
Dialogue System/Conversation/7/Entry/8/English,Text,,Um. Yep,
Dialogue System/Conversation/7/Entry/8/French,Text,,Euh… Oui.,
Dialogue System/Conversation/7/Entry/8/Sequence,Text,,SALSA(speech/Test/Kim3);,
Dialogue System/Conversation/7/Entry/9/Dialogue Text,Text,,You’re welcome…,
Dialogue System/Conversation/7/Entry/9/English,Text,,You’re welcome…,
Dialogue System/Conversation/7/Entry/9/French,Text,,Vous êtes les bienvenus…,
Dialogue System/Conversation/7/Entry/9/Sequence,Text,,"SALSA(speech/Test/Kim4);
",
Dialogue System/Conversation/7/Title,Text,,Underground_Kim_Alice_1,
Dialogue System/Conversation/8/Description,Text,,First conversation Kim and Alice ,
Dialogue System/Conversation/8/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/8/Entry/0/Title,Text,,START,
Dialogue System/Conversation/8/Entry/10/Dialogue Text,Text,,"Yes, I work at – um. I’ve just started at, do you know the Bankside Museum!",
Dialogue System/Conversation/8/Entry/10/English,Text,,"Yes, I work at – um. I’ve just started at, do you know the Bankside Museum!",
Dialogue System/Conversation/8/Entry/10/French,Text,,"Oui, je travaille à… euh… Je viens de commencer au… vous connaissez le musée Bankside ?",
Dialogue System/Conversation/8/Entry/10/Sequence,Text,,"SALSA(speech/Test/Kim4);
SendMessage(PickRandomSitAnimation, , speaker);",
Dialogue System/Conversation/8/Entry/11/Dialogue Text,Text,,"Cool, yeah!",
Dialogue System/Conversation/8/Entry/11/English,Text,,"Cool, yeah!",
Dialogue System/Conversation/8/Entry/11/French,Text,,"Cool, ouais !",
Dialogue System/Conversation/8/Entry/11/Sequence,Text,,SALSA(speech/Test/Alice6);,
Dialogue System/Conversation/8/Entry/12/Dialogue Text,Text,,\. Do you know it?,
Dialogue System/Conversation/8/Entry/12/English,Text,,\. Do you know it?,
Dialogue System/Conversation/8/Entry/12/French,Text,,\. Le savez-vous ?,
Dialogue System/Conversation/8/Entry/12/Sequence,Text,,"SALSA(speech/Test/Kim5);
SendMessage(PickRandomSitAnimation, , speaker);",
Dialogue System/Conversation/8/Entry/13/Dialogue Text,Text,,Um. No. I just wanted to sound enthusiastic. ,
Dialogue System/Conversation/8/Entry/13/English,Text,,Um. No. I just wanted to sound enthusiastic. ,
Dialogue System/Conversation/8/Entry/13/French,Text,,Euh… Non. Je voulais juste paraître enthousiaste.,
Dialogue System/Conversation/8/Entry/13/Sequence,Text,,SALSA(speech/Test/Alice7);,
Dialogue System/Conversation/8/Entry/14/Dialogue Text,Text,,(Laughter) Fair enough,
Dialogue System/Conversation/8/Entry/14/English,Text,,(Laughter) Fair enough,
Dialogue System/Conversation/8/Entry/14/French,Text,,(Rires) C'est bien vrai.,
Dialogue System/Conversation/8/Entry/14/Sequence,Text,,"SALSA(speech/Test/Kim6);
SendMessage(PickRandomSitAnimation, , speaker);",
Dialogue System/Conversation/8/Entry/15/Dialogue Text,Text,,I’ve been to London Zoo if that’s the same kind of thing?,
Dialogue System/Conversation/8/Entry/15/English,Text,,I’ve been to London Zoo if that’s the same kind of thing?,
Dialogue System/Conversation/8/Entry/15/French,Text,,"Je suis déjà allé au zoo de Londres, est-ce que c'est le même genre d'endroit ?",
Dialogue System/Conversation/8/Entry/15/Sequence,Text,,SALSA(speech/Test/Alice8);,
Dialogue System/Conversation/8/Entry/16/Dialogue Text,Text,,"I guess it is, yeah.",
Dialogue System/Conversation/8/Entry/16/English,Text,,"I guess it is, yeah.",
Dialogue System/Conversation/8/Entry/16/French,Text,,Je suppose que oui.,
Dialogue System/Conversation/8/Entry/16/Sequence,Text,,"SALSA(speech/Test/Kim7);
SendMessage(PickRandomSitAnimation, , speaker);",
Dialogue System/Conversation/8/Entry/17/Dialogue Text,Text,,"It’s not, remotely, is it?",
Dialogue System/Conversation/8/Entry/17/English,Text,,"It’s not, remotely, is it?",
Dialogue System/Conversation/8/Entry/17/French,Text,,"Ce n'est pas le cas, loin de là, n'est-ce pas ?",
Dialogue System/Conversation/8/Entry/17/Sequence,Text,,SALSA(speech/Test/Alice9);,
Dialogue System/Conversation/8/Entry/18/Dialogue Text,Text,,"I mean, no. We don’t have any live animals. 
They don’t have any 16th century tableware.",
Dialogue System/Conversation/8/Entry/18/English,Text,,"I mean, no. We don’t have any live animals. 
They don’t have any 16th century tableware.",
Dialogue System/Conversation/8/Entry/18/French,Text,,"Non, enfin, nous n’avons pas d’animaux vivants.
Ils n’ont pas de vaisselle du XVIe siècle. ",
Dialogue System/Conversation/8/Entry/18/Sequence,Text,,SALSA(speech/Test/Kim8);,
Dialogue System/Conversation/8/Entry/9/Dialogue Text,Text,,"Is that your uniform? I mean, I guess it is. 
You probably wouldn’t wear a name badge if it was your real clothes.",
Dialogue System/Conversation/8/Entry/9/English,Text,,"Is that your uniform? I mean, I guess it is. 
You probably wouldn’t wear a name badge if it was your real clothes.",
Dialogue System/Conversation/8/Entry/9/French,Text,,"C’est votre uniforme ? Enfin, je suppose que oui.
Vous ne porteriez probablement pas d’insigne si c’était vos vêtements de tous les jours.",
Dialogue System/Conversation/8/Entry/9/Sequence,Text,,SALSA(speech/Test/Alice5);,
Dialogue System/Conversation/8/Title,Text,,Underground_Kim_Alice_2,
Dialogue System/Conversation/9/Description,Text,,First conversation Kim and Alice ,
Dialogue System/Conversation/9/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/9/Entry/0/Title,Text,,START,
Dialogue System/Conversation/9/Entry/10/Dialogue Text,Text,,So you don’t live in London?,
Dialogue System/Conversation/9/Entry/10/English,Text,,So you don’t live in London?,
Dialogue System/Conversation/9/Entry/10/French,Text,,"Oui, je travaille à… euh… Je viens de commencer au… vous connaissez le musée Bankside ?",
Dialogue System/Conversation/9/Entry/10/Sequence,Text,,"SALSA(speech/Test/Kim9);
SendMessage(PickRandomSitAnimation, , speaker);",
Dialogue System/Conversation/9/Entry/10/Title,Text,,So you don’t live in London?,
Dialogue System/Conversation/9/Entry/11/Dialogue Text,Text,,I don’t live anywhere. I’m homeless!,
Dialogue System/Conversation/9/Entry/11/English,Text,,I don’t live anywhere. I’m homeless!,
Dialogue System/Conversation/9/Entry/11/French,Text,,"Cool, ouais !",
Dialogue System/Conversation/9/Entry/11/Sequence,Text,,SALSA(speech/Test/Alice10);,
Dialogue System/Conversation/9/Entry/12/Dialogue Text,Text,,\.…what?,
Dialogue System/Conversation/9/Entry/12/English,Text,,\.…what?,
Dialogue System/Conversation/9/Entry/12/French,Text,,\. Le savez-vous ?,
Dialogue System/Conversation/9/Entry/12/Sequence,Text,,"SALSA(speech/Test/Kim10);
SendMessage(PickRandomSitAnimation, , speaker);",
Dialogue System/Conversation/9/Entry/13/Dialogue Text,Text,,"God sorry, that was a stupid joke. Um I just mean I don’t have a home – a specific home – right now. I’m on my way to look at a place. A house share.",
Dialogue System/Conversation/9/Entry/13/English,Text,,"God sorry, that was a stupid joke. Um I just mean I don’t have a home – a specific home – right now. I’m on my way to look at a place. A house share.",
Dialogue System/Conversation/9/Entry/13/French,Text,,Euh… Non. Je voulais juste paraître enthousiaste.,
Dialogue System/Conversation/9/Entry/13/Sequence,Text,,SALSA(speech/Test/Alice11);,
Dialogue System/Conversation/9/Entry/14/Dialogue Text,Text,,"Oh right. Well, I – I hope it works out.",
Dialogue System/Conversation/9/Entry/14/English,Text,,"Oh right. Well, I – I hope it works out.",
Dialogue System/Conversation/9/Entry/14/French,Text,,(Rires) C'est bien vrai.,
Dialogue System/Conversation/9/Entry/14/Sequence,Text,,"SALSA(speech/Test/Kim11);
SendMessage(PickRandomSitAnimation, , speaker);",
Dialogue System/Conversation/9/Entry/15/Dialogue Text,Text,,"Me too, or I might end up sleeping in the museum after you lock up.",
Dialogue System/Conversation/9/Entry/15/English,Text,,"Me too, or I might end up sleeping in the museum after you lock up.",
Dialogue System/Conversation/9/Entry/15/French,Text,,"Je suis déjà allé au zoo de Londres, est-ce que c'est le même genre d'endroit ?",
Dialogue System/Conversation/9/Entry/15/Sequence,Text,,SALSA(speech/Test/Alice12);,
Dialogue System/Conversation/9/Entry/16/Dialogue Text,Text,,"Um, I don’t think…",
Dialogue System/Conversation/9/Entry/16/English,Text,,"Um, I don’t think…",
Dialogue System/Conversation/9/Entry/16/French,Text,,Je suppose que oui.,
Dialogue System/Conversation/9/Entry/16/Sequence,Text,,"SALSA(speech/Test/Kim12);
SendMessage(PickRandomSitAnimation, , speaker);",
Dialogue System/Conversation/9/Entry/17/Dialogue Text,Text,,Another stupid joke! Sorry again. I – sometimes I do that when I’m nervous.,
Dialogue System/Conversation/9/Entry/17/English,Text,,Another stupid joke! Sorry again. I – sometimes I do that when I’m nervous.,
Dialogue System/Conversation/9/Entry/17/French,Text,,"Ce n'est pas le cas, loin de là, n'est-ce pas ?",
Dialogue System/Conversation/9/Entry/17/Sequence,Text,,SALSA(speech/Test/Alice1);,
Dialogue System/Conversation/9/Entry/18/Dialogue Text,Text,,"\.\.What are you nervous about, about the… house…",
Dialogue System/Conversation/9/Entry/18/English,Text,,"\.\.What are you nervous about, about the… house…",
Dialogue System/Conversation/9/Entry/18/French,Text,,"Non, enfin, nous n’avons pas d’animaux vivants.
Ils n’ont pas de vaisselle du XVIe siècle. ",
Dialogue System/Conversation/9/Entry/18/Sequence,Text,,SALSA(speech/Test/Kim13);,
Dialogue System/Conversation/9/Entry/19/Dialogue Text,Text,,"I just mean about, you know, whether I like the house.",
Dialogue System/Conversation/9/Entry/19/English,Text,,"I just mean about, you know, whether I like the house.",
Dialogue System/Conversation/9/Entry/19/Sequence,Text,,SALSA(speech/Test/Alice2);,
Dialogue System/Conversation/9/Entry/20/Dialogue Text,Text,,Oh! This is you,
Dialogue System/Conversation/9/Entry/20/English,Text,,Oh! This is you,
Dialogue System/Conversation/9/Entry/20/Sequence,Text,,SALSA(speech/Test/Kim1);,
Dialogue System/Conversation/9/Title,Text,,Underground_Kim_Alice_3,
Load,Text,,Charger,Load
Music Volume,Text,,Volume de la musique,Music Volume
Options,Text,,Possibilités,Options
Profiles,Text,,Profils,Profiles
Quit,Text,,Quitter,Quit
Resume,Text,,Continuer,Resume
SFX Volume,Text,,Volume de la SFX,SFX Volume
Speech Volume,Text,,Volume de la parole,Speech Volume
